KIC,Teff,log(g),Mass,Prot,e_Prot,n_Prot,Rper,LPH,w,Ref,_RA,_DE
 ,K,[cm/s2],Msun,d,d, ,ppm, , , ,deg,deg
--------,----,-----,-------,------,------,---,----------,------,-------,-,---------,---------
5793518,5984,4.44,1.1021,14.13,3.03,   ,478.3,0.361,0.2849,0,292.63239,41.08354
5793552,4416,4.66,0.6765,13.109,0.017,   ,12562.63,1.035,0.5657,0,292.64355,41.02079
5793668,5921,4.23,1.0831,11.892,0.612,   ,1342.89,0.455,0.3337,0,292.68423,41.07385
5793702,5549,4.45,0.9779,27.244,0.297,   ,520.65,0.512,0.3219,0,292.69754,41.00123
5793716,4955,4.7,0.8226,35.374,0.569,   ,2217.05,0.416,0.2596,0,292.70224,41.09171
5794238,5755,4.41,1.0348,12.738,0.004,   ,7697.79,1.211,0.6631,0,292.87277,41.0203
5794265,5725,4.53,1.0264,14.142,0.031,   ,14339.69,1.062,0.6217,0,292.87842,41.03011
5794279,5489,4.79,0.9618,29.169,4.079,   ,3609.15,0.4,0.2502,0,292.88297,41.08178
5794519,5394,4.61,0.9366,5.459,0.015,   ,24545.37,1.451,0.745,0,292.95779,41.01804
5794566,4613,4.73,0.7317,17.787,0.265,   ,9930.67,1.332,0.6948,0,292.96945,41.01414
5794597,5485,4.73,0.9607,21.744,0.31,   ,7795.27,0.758,0.4889,0,292.9794,41.02353
5794625,4735,4.62,0.7647,22.153,0.146,   ,33045.53,1.392,0.6627,0,292.98569,41.05387
5794687,4722,4.65,0.7612,23.411,0.152,   ,5134.82,0.978,0.6049,0,293.00101,41.02478
5794792,5038,4.68,0.8441,10.032,0.027,   ,10009.17,1.103,0.589,0,293.03149,41.00349
5795198,5904,4.38,1.078,17.076,1.435,   ,2697.65,0.438,0.3177,0,293.14761,41.04003
5795235,6375,4.3,1.2306,0.91,0.005,   ,1244.72,0.98,0.594,0,293.15884,41.01544
5795237,5300,4.55,0.912,18.715,0.031,   ,10880.65,1.001,0.6112,0,293.15918,41.00506
5795259,4945,4.69,0.82,10.163,0.041,   ,7577.21,0.985,0.534,0,293.16522,41.06843
5795353,4533,4.46,0.7096,58.11,0.716,   ,44350.33,1.04,0.4874,0,293.19888,41.04875
5795447,4573,4.59,0.7207,34.114,0.517,   ,6051.33,0.5,0.351,0,293.22845,41.01488
5795522,6333,4.03,1.2158,8.581,0.018,   ,2284.59,1.064,0.592,0,293.25299,41.02353
5795551,4548,4.58,0.7138,11.825,0.102,   ,14585.2,1.54,0.741,0,293.26413,41.03327
5795572,5229,4.74,0.8935,21.414,0.181,   ,3996.61,0.427,0.2689,0,293.27048,41.05987
5795615,5170,4.66,0.8782,17.427,0.426,   ,4334.87,0.896,0.5429,0,293.28366,41.09556
5795707,5725,4.59,1.0264,6.923,0.053,   ,1281.38,0.458,0.2819,0,293.3139,41.0514
5795898,6225,4.5,1.1789,9.308,1.324,   ,2165.08,0.352,0.2765,0,293.3743,41.02808
5795922,5500,4.9,0.9647,12.587,1.231,   ,6199.03,1.076,0.6418,0,293.37967,41.08754
5795968,5287,4.97,0.9086,11.187,2.202,   ,7509.29,1.096,0.6128,0,293.39386,41.00961
5796208,5378,4.85,0.9324,19.221,0.178,   ,7463.16,0.829,0.5512,0,293.46225,41.09589
5796268,6226,4.52,1.1792,4.797,0.049,   ,1961.95,0.581,0.4132,0,293.47672,41.08355
5796522,5608,4.6,0.9939,5.335,0.122,   ,3753.96,0.827,0.4822,0,293.54706,41.09947
5801273,5429,4.71,0.9458,10.21,0.045,   ,9577.75,1.268,0.7059,0,294.84167,41.02295
5801326,5933,4.38,1.0867,14.01,0.17,   ,546.04,0.342,0.2743,0,294.85214,41.02804
5801452,6199,4.52,1.1703,3.122,0.004,   ,1807.87,1.421,0.7584,0,294.88528,41.05191
5801455,5359,4.69,0.9274,16.651,0.105,   ,4822.49,0.634,0.4028,0,294.88635,41.02981
5801501,5743,4.7,1.0315,15.346,3.17,   ,3016.53,0.68,0.4832,0,294.89685,41.01194
5801509,5945,4.41,1.0903,5.818,0.212,   ,3162.5,0.524,0.3405,0,294.89954,41.04132
5801599,5596,4.54,0.9907,9.673,0.026,   ,15815.26,1.031,0.6047,0,294.92053,41.03212
5801606,4610,4.29,0.7309,30.922,0.994,   ,2734.87,0.722,0.4663,0,294.92142,41.03689
5801643,6278,4.47,1.1968,6.333,0.011,   ,4808.52,0.904,0.5757,0,294.93103,41.05134
5801747,5616,4.72,0.9961,13.507,0.047,   ,9270.31,1.375,0.6892,0,294.95789,41.07195
5801876,5363,4.51,0.9284,9.971,0.025,   ,23828.74,1.555,0.7332,0,294.9913,41.08421
5801940,5775,3.76,1.0405,14.409,0.05,   ,2256.54,0.777,0.5337,0,295.01199,41.02554
5802008,6401,4.2,1.2399,3.991,0.252,   ,1809.81,0.509,0.396,0,295.03381,41.01379
